province,report_date,avaccine,dvaccine,count_type,cumulative_avaccine,cumulative_dvaccine
NL,1/4/2021,279,279,planned,,
NL,1/5/2021,279,279,planned,,
NL,1/6/2021,279,279,planned,,
NL,1/7/2021,279,279,planned,,
NL,1/8/2021,279,279,planned,,
NL,1/9/2021,279,279,planned,,
NL,1/10/2021,279,279,planned,,
NL,1/11/2021,418,418,planned,,
NL,1/12/2021,418,418,planned,,
NL,1/13/2021,418,418,planned,,
NL,1/14/2021,418,418,planned,,
NL,1/15/2021,418,418,planned,,
NL,1/16/2021,418,418,planned,,
NL,1/17/2021,418,418,planned,,
NL,1/18/2021,418,418,planned,,
NL,1/19/2021,418,418,planned,,
NL,1/20/2021,418,418,planned,,
NL,1/21/2021,418,418,planned,,
NL,1/22/2021,418,418,planned,,
NL,1/23/2021,418,418,planned,,
NL,1/24/2021,418,418,planned,,
NL,1/25/2021,418,418,planned,,
NL,1/26/2021,418,418,planned,,
NL,1/27/2021,418,418,planned,,
NL,1/28/2021,418,418,planned,,
NL,1/29/2021,418,418,planned,,
NL,1/30/2021,418,418,planned,,
NL,1/31/2021,418,418,planned,,
NL,2/1/2021,696,696,planned,,
NL,2/2/2021,696,696,planned,,
NL,2/3/2021,696,696,planned,,
NL,2/4/2021,696,696,planned,,
NL,2/5/2021,696,696,planned,,
NL,2/6/2021,696,696,planned,,
NL,2/7/2021,696,696,planned,,
NL,2/8/2021,696,696,planned,,
NL,2/9/2021,696,696,planned,,
NL,2/10/2021,696,696,planned,,
NL,2/11/2021,696,696,planned,,
NL,2/12/2021,696,696,planned,,
NL,2/13/2021,696,696,planned,,
NL,2/14/2021,696,696,planned,,
NL,2/15/2021,696,696,planned,,
NL,2/16/2021,696,696,planned,,
NL,2/17/2021,696,696,planned,,
NL,2/18/2021,696,696,planned,,
NL,2/19/2021,696,696,planned,,
NL,2/20/2021,696,696,planned,,
NL,2/21/2021,696,696,planned,,
NL,2/22/2021,696,696,planned,,
NL,2/23/2021,696,696,planned,,
