province,report_date,daily_moderna,daily_pfizer,daily_astrazenaca,daily_total,weekly_moderna,weekly_pfizer,weekly_astrazenaca,weekly_total,moderna_cumulative,pfizer_cumulative,astrazenaca_cumulative,total_cumulative
Canada,04-02-2011,"25,714","11,286",0,"37,000","180,000","79,000",,"259,000","340,200","858,000",0,"1,198,200"
Canada,05-02-2011,"25,714","11,286",0,"37,000","180,000","79,000",,"259,000","365,914","869,286",0,"1,235,200"
Canada,06-02-2011,"25,714","11,286",0,"37,000","180,000","79,000",,"259,000","391,629","880,571",0,"1,272,200"
Canada,07-02-2011,"25,714","11,286",0,"37,000","180,000","79,000",,"259,000","417,343","891,857",0,"1,309,200"
Canada,08-02-2011,"25,714","10,029",0,"35,743","180,000","70,200",,"250,200","443,057","901,886",0,"1,344,943"
Canada,09-02-2011,"25,714","10,029",0,"35,743","180,000","70,200",,"250,200","468,771","911,914",0,"1,380,686"
Canada,10-02-2011,"25,714","10,029",0,"35,743","180,000","70,200",,"250,200","494,486","921,943",0,"1,416,429"
Canada,11-02-2011,"25,714","10,029",0,"35,743","180,000","70,200",,"250,200","520,200","931,971",0,"1,452,171"
Canada,12-02-2011,"25,714","10,029",0,"35,743","180,000","70,200",,"250,200","545,914","942,000",0,"1,487,914"
Canada,13-02-2011,"25,714","10,029",0,"35,743","180,000","70,200",,"250,200","571,629","952,029",0,"1,523,657"
Canada,14-02-2011,"25,714","10,029",0,"35,743","180,000","70,200",,"250,200","597,343","962,057",0,"1,559,400"
Canada,15-02-2011,"31,429","48,054",0,"79,482","220,000","336,375",,"556,375","628,771","1,010,111",0,"1,638,882"
Canada,16-02-2011,"31,429","48,054",0,"79,482","220,000","336,375",,"556,375","660,200","1,058,164",0,"1,718,364"
Canada,17-02-2011,"31,429","48,054",0,"79,482","220,000","336,375",,"556,375","691,629","1,106,218",0,"1,797,846"
Canada,18-02-2011,"31,429","48,054",0,"79,482","220,000","336,375",,"556,375","723,057","1,154,271",0,"1,877,329"
Canada,19-02-2011,"31,429","48,054",0,"79,482","220,000","336,375",,"556,375","754,486","1,202,325",0,"1,956,811"
Canada,20-02-2011,"31,429","48,054",0,"79,482","220,000","336,375",,"556,375","785,914","1,250,379",0,"2,036,293"
Canada,21-02-2011,"31,429","48,054",0,"79,482","220,000","336,375",,"556,375","817,343","1,298,432",0,"2,115,775"
Canada,22-02-2011,"31,429","56,550",0,"87,979","220,000","395,850",,"615,850","848,771","1,354,982",0,"2,203,754"
Canada,23-02-2011,"31,429","56,550",0,"87,979","220,000","395,850",,"615,850","880,200","1,411,532",0,"2,291,732"
Canada,24-02-2011,"31,429","56,550",0,"87,979","220,000","395,850",,"615,850","911,629","1,468,082",0,"2,379,711"
Canada,25-02-2011,"31,429","56,550",0,"87,979","220,000","395,850",,"615,850","943,057","1,524,632",0,"2,467,689"
Canada,26-02-2011,"31,429","56,550",0,"87,979","220,000","395,850",,"615,850","974,486","1,581,182",0,"2,555,668"
Canada,27-02-2011,"31,429","56,550",0,"87,979","220,000","395,850",,"615,850","1,005,914","1,637,732",0,"2,643,646"
Canada,28-02-2011,"31,429","56,550",0,"87,979","220,000","395,850",,"615,850","1,037,343","1,694,282",0,"2,731,625"
Canada,01-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,068,771","1,765,711",0,"2,834,482"
Canada,02-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,100,200","1,837,139",0,"2,937,339"
Canada,03-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,131,629","1,908,568",0,"3,040,196"
Canada,04-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,163,057","1,979,996",0,"3,143,054"
Canada,05-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,194,486","2,051,425",0,"3,245,911"
Canada,06-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,225,914","2,122,854",0,"3,348,768"
Canada,07-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,257,343","2,194,282",0,"3,451,625"
Canada,08-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,288,771","2,265,711",0,"3,554,482"
Canada,09-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,320,200","2,337,139",0,"3,657,339"
Canada,10-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,351,629","2,408,568",0,"3,760,196"
Canada,11-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,383,057","2,479,996",0,"3,863,054"
Canada,12-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,414,486","2,551,425",0,"3,965,911"
Canada,13-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,445,914","2,622,854",0,"4,068,768"
Canada,14-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,477,343","2,694,282",0,"4,171,625"
Canada,15-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,508,771","2,765,711",0,"4,274,482"
Canada,16-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,540,200","2,837,139",0,"4,377,339"
Canada,17-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,571,629","2,908,568",0,"4,480,196"
Canada,18-03-2011,"31,429","71,429",0,"102,857","220,000","500,000",,"720,000","1,603,057","2,979,996",0,"4,583,054"
