REF_DATE,GEO,Age group,Age,UOM_ID,VALUE
2020,Canada,0 to 4 years,0,249,1921944
2020,Canada,5 to 9 years,5,249,2044603
2020,Canada,10 to 14 years,10,249,2072100
2020,Canada,15 to 19 years,15,249,2100865
2020,Canada,20 to 24 years,20,249,2482802
2020,Canada,25 to 29 years,25,249,2645240
2020,Canada,30 to 34 years,30,249,2661723
2020,Canada,35 to 39 years,35,249,2630680
2020,Canada,40 to 44 years,40,249,2464247
2020,Canada,45 to 49 years,45,249,2390116
2020,Canada,50 to 54 years,50,249,2449915
2020,Canada,55 to 59 years,55,249,2744896
2020,Canada,60 to 64 years,60,249,2560241
2020,Canada,65 to 69 years,65,249,2167275
2020,Canada,70 to 74 years,70,249,1786622
2020,Canada,75 to 79 years,75,249,1218303
2020,Canada,80 to 84 years,80,249,811370
2020,Canada,85 to 89 years,85,249,517710
2020,Canada,90 to 94 years,90,249,248593
2020,Canada,95 to 99 years,95,249,74476
2020,Canada,100 years and over,100,249,11517
2020,NL,0 to 4 years,0,249,20402
2020,NL,5 to 9 years,5,249,23376
2020,NL,10 to 14 years,10,249,26186
2020,NL,15 to 19 years,15,249,26994
2020,NL,20 to 24 years,20,249,28910
2020,NL,25 to 29 years,25,249,28076
2020,NL,30 to 34 years,30,249,28942
2020,NL,35 to 39 years,35,249,30151
2020,NL,40 to 44 years,40,249,31426
2020,NL,45 to 49 years,45,249,35754
2020,NL,50 to 54 years,50,249,40214
2020,NL,55 to 59 years,55,249,43105
2020,NL,60 to 64 years,60,249,42339
2020,NL,65 to 69 years,65,249,39718
2020,NL,70 to 74 years,70,249,33179
2020,NL,75 to 79 years,75,249,20458
2020,NL,80 to 84 years,80,249,12617
2020,NL,85 to 89 years,85,249,6662
2020,NL,90 to 94 years,90,249,2715
2020,NL,95 to 99 years,95,249,751
2020,NL,100 years and over,100,249,128
2020,PEI,0 to 4 years,0,249,7199
2020,PEI,5 to 9 years,5,249,8248
2020,PEI,10 to 14 years,10,249,8966
2020,PEI,15 to 19 years,15,249,9340
2020,PEI,20 to 24 years,20,249,11577
2020,PEI,25 to 29 years,25,249,10321
2020,PEI,30 to 34 years,30,249,9212
2020,PEI,35 to 39 years,35,249,9314
2020,PEI,40 to 44 years,40,249,9586
2020,PEI,45 to 49 years,45,249,10231
2020,PEI,50 to 54 years,50,249,10319
2020,PEI,55 to 59 years,55,249,12005
2020,PEI,60 to 64 years,60,249,11350
2020,PEI,65 to 69 years,65,249,10116
2020,PEI,70 to 74 years,70,249,9106
2020,PEI,75 to 79 years,75,249,5589
2020,PEI,80 to 84 years,80,249,3641
2020,PEI,85 to 89 years,85,249,2244
2020,PEI,90 to 94 years,90,249,935
2020,PEI,95 to 99 years,95,249,281
2020,PEI,100 years and over,100,249,45
2020,Nova Scotia,0 to 4 years,0,249,42443
2020,Nova Scotia,5 to 9 years,5,249,46177
2020,Nova Scotia,10 to 14 years,10,249,48170
2020,Nova Scotia,15 to 19 years,15,249,50776
2020,Nova Scotia,20 to 24 years,20,249,61556
2020,Nova Scotia,25 to 29 years,25,249,63359
2020,Nova Scotia,30 to 34 years,30,249,61264
2020,Nova Scotia,35 to 39 years,35,249,58683
2020,Nova Scotia,40 to 44 years,40,249,56907
2020,Nova Scotia,45 to 49 years,45,249,61194
2020,Nova Scotia,50 to 54 years,50,249,65276
2020,Nova Scotia,55 to 59 years,55,249,78780
2020,Nova Scotia,60 to 64 years,60,249,75941
2020,Nova Scotia,65 to 69 years,65,249,66676
2020,Nova Scotia,70 to 74 years,70,249,57399
2020,Nova Scotia,75 to 79 years,75,249,37734
2020,Nova Scotia,80 to 84 years,80,249,24225
2020,Nova Scotia,85 to 89 years,85,249,14184
2020,Nova Scotia,90 to 94 years,90,249,6318
2020,Nova Scotia,95 to 99 years,95,249,1930
2020,Nova Scotia,100 years and over,100,249,359
2020,New Brunswick,0 to 4 years,0,249,33582
2020,New Brunswick,5 to 9 years,5,249,38199
2020,New Brunswick,10 to 14 years,10,249,40354
2020,New Brunswick,15 to 19 years,15,249,40662
2020,New Brunswick,20 to 24 years,20,249,43490
2020,New Brunswick,25 to 29 years,25,249,43981
2020,New Brunswick,30 to 34 years,30,249,44703
2020,New Brunswick,35 to 39 years,35,249,46655
2020,New Brunswick,40 to 44 years,40,249,48179
2020,New Brunswick,45 to 49 years,45,249,51551
2020,New Brunswick,50 to 54 years,50,249,54044
2020,New Brunswick,55 to 59 years,55,249,63300
2020,New Brunswick,60 to 64 years,60,249,61514
2020,New Brunswick,65 to 69 years,65,249,55477
2020,New Brunswick,70 to 74 years,70,249,46962
2020,New Brunswick,75 to 79 years,75,249,30462
2020,New Brunswick,80 to 84 years,80,249,19475
2020,New Brunswick,85 to 89 years,85,249,11705
2020,New Brunswick,90 to 94 years,90,249,5213
2020,New Brunswick,95 to 99 years,95,249,1704
2020,New Brunswick,100 years and over,100,249,264
2020,Quebec,0 to 4 years,0,249,430250
2020,Quebec,5 to 9 years,5,249,465890
2020,Quebec,10 to 14 years,10,249,457420
2020,Quebec,15 to 19 years,15,249,426496
2020,Quebec,20 to 24 years,20,249,499370
2020,Quebec,25 to 29 years,25,249,564669
2020,Quebec,30 to 34 years,30,249,548066
2020,Quebec,35 to 39 years,35,249,578273
2020,Quebec,40 to 44 years,40,249,581724
2020,Quebec,45 to 49 years,45,249,527233
2020,Quebec,50 to 54 years,50,249,546847
2020,Quebec,55 to 59 years,55,249,637724
2020,Quebec,60 to 64 years,60,249,619126
2020,Quebec,65 to 69 years,65,249,529279
2020,Quebec,70 to 74 years,70,249,440008
2020,Quebec,75 to 79 years,75,249,313752
2020,Quebec,80 to 84 years,80,249,198497
2020,Quebec,85 to 89 years,85,249,128147
2020,Quebec,90 to 94 years,90,249,60879
2020,Quebec,95 to 99 years,95,249,18086
2020,Quebec,100 years and over,100,249,2835
2020,Ontario,0 to 4 years,0,249,723016
2020,Ontario,5 to 9 years,5,249,762654
2020,Ontario,10 to 14 years,10,249,792947
2020,Ontario,15 to 19 years,15,249,852405
2020,Ontario,20 to 24 years,20,249,1039661
2020,Ontario,25 to 29 years,25,249,1077433
2020,Ontario,30 to 34 years,30,249,1041952
2020,Ontario,35 to 39 years,35,249,992844
2020,Ontario,40 to 44 years,40,249,921378
2020,Ontario,45 to 49 years,45,249,932058
2020,Ontario,50 to 54 years,50,249,968546
2020,Ontario,55 to 59 years,55,249,1073519
2020,Ontario,60 to 64 years,60,249,961243
2020,Ontario,65 to 69 years,65,249,803962
2020,Ontario,70 to 74 years,70,249,673546
2020,Ontario,75 to 79 years,75,249,461015
2020,Ontario,80 to 84 years,80,249,319548
2020,Ontario,85 to 89 years,85,249,204227
2020,Ontario,90 to 94 years,90,249,98638
2020,Ontario,95 to 99 years,95,249,29527
2020,Ontario,100 years and over,100,249,3895
2020,Manitoba,0 to 4 years,0,249,85220
2020,Manitoba,5 to 9 years,5,249,89507
2020,Manitoba,10 to 14 years,10,249,86583
2020,Manitoba,15 to 19 years,15,249,85808
2020,Manitoba,20 to 24 years,20,249,96636
2020,Manitoba,25 to 29 years,25,249,97157
2020,Manitoba,30 to 34 years,30,249,98789
2020,Manitoba,35 to 39 years,35,249,95203
2020,Manitoba,40 to 44 years,40,249,86739
2020,Manitoba,45 to 49 years,45,249,82541
2020,Manitoba,50 to 54 years,50,249,80302
2020,Manitoba,55 to 59 years,55,249,89949
2020,Manitoba,60 to 64 years,60,249,83163
2020,Manitoba,65 to 69 years,65,249,70981
2020,Manitoba,70 to 74 years,70,249,57001
2020,Manitoba,75 to 79 years,75,249,38329
2020,Manitoba,80 to 84 years,80,249,25922
2020,Manitoba,85 to 89 years,85,249,16952
2020,Manitoba,90 to 94 years,90,249,8968
2020,Manitoba,95 to 99 years,95,249,3010
2020,Manitoba,100 years and over,100,249,503
2020,Saskatchewan,0 to 4 years,0,249,75200
2020,Saskatchewan,5 to 9 years,5,249,78696
2020,Saskatchewan,10 to 14 years,10,249,76730
2020,Saskatchewan,15 to 19 years,15,249,71304
2020,Saskatchewan,20 to 24 years,20,249,75402
2020,Saskatchewan,25 to 29 years,25,249,77488
2020,Saskatchewan,30 to 34 years,30,249,85751
2020,Saskatchewan,35 to 39 years,35,249,86664
2020,Saskatchewan,40 to 44 years,40,249,76067
2020,Saskatchewan,45 to 49 years,45,249,67397
2020,Saskatchewan,50 to 54 years,50,249,65716
2020,Saskatchewan,55 to 59 years,55,249,77024
2020,Saskatchewan,60 to 64 years,60,249,74222
2020,Saskatchewan,65 to 69 years,65,249,62071
2020,Saskatchewan,70 to 74 years,70,249,46528
2020,Saskatchewan,75 to 79 years,75,249,31910
2020,Saskatchewan,80 to 84 years,80,249,22791
2020,Saskatchewan,85 to 89 years,85,249,15931
2020,Saskatchewan,90 to 94 years,90,249,8492
2020,Saskatchewan,95 to 99 years,95,249,2773
2020,Saskatchewan,100 years and over,100,249,524
2020,Alberta,0 to 4 years,0,249,269163
2020,Alberta,5 to 9 years,5,249,277785
2020,Alberta,10 to 14 years,10,249,276328
2020,Alberta,15 to 19 years,15,249,256742
2020,Alberta,20 to 24 years,20,249,277328
2020,Alberta,25 to 29 years,25,249,314507
2020,Alberta,30 to 34 years,30,249,356226
2020,Alberta,35 to 39 years,35,249,359301
2020,Alberta,40 to 44 years,40,249,319889
2020,Alberta,45 to 49 years,45,249,288546
2020,Alberta,50 to 54 years,50,249,266489
